60-69.9%,50-59.9%,40-49.9%,30-39.9%,20-29.9%,10-19.9%,<0-9.9%
United Kingdom,Azerbaijan,Bangladesh,Benin,Burundi,Somalia,Iran
Australia,Belgium,Malta,China,Republic of the Congo,Libya,Eritrea
Netherlands,Croatia,Paraguay,Lesotho,Central African Republic,,North Korea
Portugal,Czechia,Qatar,Mongolia,Palau,,
United States,Italy,Saudi Arabia,Morocco,Venezuela,,
Ireland,Latvia,Sri Lanka,Senegal,Zimbabwe,,
Norway,Philippines,Trinidad and Tobago,Malawi,Sudan,,
Spain,Argentina,Turkey,Oman,Turkmenistan,,
Sweden,Bosnia and Herzegovina,Belarus,South Korea,Vanuatu,,
Albania,Cyprus,Bolivia,Côte d’Ivoire,Chad,,
Austria,Lithuania,Guatemala,Haiti,Gabon,,
Denmark,North Macedonia,Honduras,Kuwait,Russia,,
France,Romania,Iceland,Maldives,Equatorial Guinea,,
Georgia,Slovakia,Kyrgyzstan,Niger,,,
Germany,Estonia,Moldova,Pakistan,,,
Greece,Serbia,Singapore,Algeria,,,
Canada,Slovenia,Tunisia,Burkina Faso,,,
Finland,Uruguay,Viet Nam,Democratic Republic of the Congo,,,
Montenegro,Bahrain,Taiwan,Djibouti,,,
,Bulgaria,Colombia,Eswatini,,,
,Chile,Dominican Republic,Gambia,,,
,Hungary,Fiji,Guinea,,,
,Mexico,India,Mauritius,,,
,Peru,Jordan,Nicaragua,,,
,Poland,Kazakhstan,Tajikistan,,,
,Thailand,Kenya,Brunei Darussalam,,,
,Armenia,Lao PDR,Mauritania,,,
,New Zealand,Uganda,Timor-Leste,,,
,Nigeria,Uzbekistan,Guinea-Bissau,,,
,Bahamas,Belize,Iraq,,,
,South Africa,El Salvador,Lebanon,,,
,Brazil,Ethiopia,Seychelles,,,
,Costa Rica,Ghana,Sierra Leone,,,
,Ecuador,Israel,Togo,,,
,Guyana,Malaysia,Hong Kong,,,
,Jamaica,Mozambique,Cabo Verde,,,
,Luxembourg,Nepal,Cuba,,,
,Panama,Saint Vincent and the Grenadines,Liechtenstein,,,
,Saint Lucia,Zambia,Mali,,,
,Ukraine,Kosovo,Papua New Guinea,,,
,Indonesia,Angola,Solomon Islands,,,
,Rwanda,Antigua and Barbuda,Suriname,,,
,Switzerland,Egypt,,,,
,United Arab Emirates,Japan,,,,
,,Namibia,,,,
,,Botswana,,,,
,,Cambodia,,,,
,,Madagascar,,,,
,,Myanmar,,,,
,,Tanzania,,,,
,,Barbados,,,,
,,Cameroon,,,,
,,Liberia,,,,